ds,y
2019-07-24,38
2019-07-25,44
2019-07-26,40
2019-07-27,37
2019-07-28,37
2019-07-29,39
2019-07-30,44
2019-07-31,38
2019-08-01,42
2019-08-02,40
2019-08-03,38
2019-08-04,41
2019-08-05,39
2019-08-06,43
2019-08-07,40
2019-08-08,38
2019-08-09,38
2019-08-10,38
2019-08-11,36
2019-08-12,32
2019-08-13,37
2019-08-14,39
2019-08-15,45
2019-08-16,42
2019-08-17,32
2019-08-18,32
2019-08-19,28
2019-08-20,32
2019-08-21,36
2019-08-22,39
2019-08-23,31
2019-08-24,30
2019-08-25,24
2019-08-26,29
2019-08-27,28
2019-08-28,31
2019-08-29,29
2019-08-30,30
2019-08-31,23
2019-09-01,22
2019-09-02,33
2019-09-03,24
2019-09-04,26
2019-09-05,34
2019-09-06,36
2019-09-07,22
2019-09-08,23
2019-09-09,25
2019-09-10,30
2019-09-11,23
2019-09-12,25
2019-09-13,26
2019-09-14,23
2019-09-15,19
2019-09-16,20
2019-09-17,17
2019-09-18,22
2019-09-19,22
2019-09-20,22
2019-09-21,17
2019-09-22,19
2019-09-23,20
2019-09-24,19
2019-09-25,20
2019-09-26,20
2019-09-27,18
2019-09-28,14
2019-09-29,15
2019-09-30,14
2019-10-01,22
2019-10-02,21
2019-10-03,18
2019-10-04,13
2019-10-05,10
2019-10-06,15
2019-10-07,12
2019-10-08,14
2019-10-09,9
2019-10-10,17
2019-10-11,14
2019-10-12,7
2019-10-13,8
2019-10-14,10
2019-10-15,11
2019-10-16,11
2019-10-17,12
2019-10-18,10
2019-10-19,9
2019-10-20,12
2019-10-21,5
2019-10-22,8
2019-10-23,11
2019-10-24,12
2019-10-25,8
2019-10-26,5
2019-10-27,7
2019-10-28,12
2019-10-29,5
2019-10-30,12
2019-10-31,9
2019-11-01,8
2019-11-02,5
2019-11-03,5
2019-11-04,10
2019-11-05,9
2019-11-06,14
2019-11-07,13
2019-11-08,10
2019-11-09,12
2019-11-10,7
2019-11-11,9
2019-11-12,7
2019-11-13,10
2019-11-14,8
2019-11-15,12
2019-11-16,5
2019-11-17,9
2019-11-18,6
2019-11-19,12
2019-11-20,12
2019-11-21,16
2019-11-22,12
2019-11-23,5
2019-11-24,7
2019-11-25,5
2019-11-26,8
2019-11-27,16
2019-11-28,14
2019-11-29,9
2019-11-30,7
2019-12-01,9
2019-12-02,6
2019-12-03,9
2019-12-04,14
2019-12-05,17
2019-12-06,15
2019-12-07,5
2019-12-08,12
2019-12-09,12
2019-12-10,15
2019-12-11,20
2019-12-12,10
2019-12-13,14
2019-12-14,16
2019-12-15,9
2019-12-16,19
2019-12-17,17
2019-12-18,21
2019-12-19,17
2019-12-20,21
2019-12-21,20
2019-12-22,17
2019-12-23,18
2019-12-24,20
2019-12-25,18
2019-12-26,21
2019-12-27,21
2019-12-28,21
2019-12-29,22
2019-12-30,17
2019-12-31,21
2020-01-01,28
2020-01-02,22
2020-01-03,21
2020-01-04,23
2020-01-05,24
2020-01-06,23
2020-01-07,29
2020-01-08,29
2020-01-09,30
2020-01-10,28
2020-01-11,32
2020-01-12,24
2020-01-13,20
2020-01-14,32
2020-01-15,28
2020-01-16,31
2020-01-17,34
2020-01-18,23
2020-01-19,24
2020-01-20,24
2020-01-21,28
2020-01-22,34
2020-01-23,35
2020-01-24,33
2020-01-25,27
2020-01-26,23
2020-01-27,31
2020-01-28,31
2020-01-29,36
2020-01-30,38
2020-01-31,35
2020-02-01,36
2020-02-02,33
2020-02-03,35
2020-02-04,33
2020-02-05,36
2020-02-06,38
2020-02-07,39
2020-02-08,34
2020-02-09,36
2020-02-10,34
2020-02-11,37
2020-02-12,41
2020-02-13,33
2020-02-14,35
2020-02-15,33
2020-02-16,29
2020-02-17,35
2020-02-18,41
2020-02-19,40
2020-02-20,42
2020-02-21,43
2020-02-22,43
2020-02-23,38
2020-02-24,42
2020-02-25,40
2020-02-26,39
2020-02-27,41
2020-02-28,37
2020-02-29,37
2020-03-01,38
2020-03-02,42
2020-03-03,46
2020-03-04,39
2020-03-05,45
2020-03-06,39
2020-03-07,42
2020-03-08,39
2020-03-09,35
2020-03-10,45
2020-03-11,42
2020-03-12,43
2020-03-13,40
2020-03-14,40
2020-03-15,42
2020-03-16,40
2020-03-17,44
2020-03-18,45
2020-03-19,49
2020-03-20,43
2020-03-21,38
2020-03-22,44
2020-03-23,41
2020-03-24,47
2020-03-25,46
2020-03-26,45
2020-03-27,45
2020-03-28,48
2020-03-29,48
2020-03-30,42
2020-03-31,44
2020-04-01,49
2020-04-02,43
2020-04-03,46
2020-04-04,43
2020-04-05,43
2020-04-06,40
2020-04-07,39
2020-04-08,40
2020-04-09,43
2020-04-10,44
2020-04-11,43
2020-04-12,48
2020-04-13,46
2020-04-14,42
2020-04-15,47
2020-04-16,45
2020-04-17,45
2020-04-18,45
2020-04-19,45
2020-04-20,42
2020-04-21,48
2020-04-22,43
2020-04-23,47
2020-04-24,54
2020-04-25,45
2020-04-26,48
2020-04-27,44
2020-04-28,47
2020-04-29,47
2020-04-30,47
2020-05-01,44
2020-05-02,46
2020-05-03,42
2020-05-04,47
2020-05-05,50
2020-05-06,49
2020-05-07,48
2020-05-08,49
2020-05-09,45
2020-05-10,48
2020-05-11,40
2020-05-12,46
2020-05-13,43
2020-05-14,45
2020-05-15,52
2020-05-16,49
2020-05-17,44
2020-05-18,42
2020-05-19,39
2020-05-20,48
2020-05-21,57
2020-05-22,51
2020-05-23,46
2020-05-24,48
2020-05-25,43
2020-05-26,48
2020-05-27,51
2020-05-28,51
2020-05-29,52
2020-05-30,50
2020-05-31,50
2020-06-01,46
2020-06-02,52
2020-06-03,56
2020-06-04,49
2020-06-05,48
2020-06-06,53
2020-06-07,48
2020-06-08,53
2020-06-09,49
2020-06-10,57
2020-06-11,53
2020-06-12,52
2020-06-13,55
2020-06-14,48
2020-06-15,47
2020-06-16,50
2020-06-17,54
2020-06-18,49
2020-06-19,54
2020-06-20,49
2020-06-21,53
2020-06-22,43
2020-06-23,49
2020-06-24,48
2020-06-25,51
2020-06-26,53
2020-06-27,50
2020-06-28,49
2020-06-29,50
2020-06-30,52
2020-07-01,50
2020-07-02,56
2020-07-03,55
2020-07-04,52
2020-07-05,51
2020-07-06,51
2020-07-07,58
2020-07-08,53
2020-07-09,52
2020-07-10,50
2020-07-11,47
2020-07-12,46
2020-07-13,47
2020-07-14,51
2020-07-15,53
2020-07-16,53
2020-07-17,49
2020-07-18,52
2020-07-19,51
2020-07-20,48
2020-07-21,48
2020-07-22,53
2020-07-23,52
2020-07-24,46
2020-07-25,48
2020-07-26,48
2020-07-27,45
2020-07-28,49
2020-07-29,46
2020-07-30,54
2020-07-31,52
2020-08-01,46
2020-08-02,46
2020-08-03,38
2020-08-04,43
2020-08-05,47
2020-08-06,45
2020-08-07,49
2020-08-08,51
2020-08-09,40
2020-08-10,41
2020-08-11,45
2020-08-12,50
2020-08-13,42
2020-08-14,45
2020-08-15,48
2020-08-16,36
2020-08-17,37
2020-08-18,41
2020-08-19,41
2020-08-20,45
2020-08-21,42
2020-08-22,34
2020-08-23,39
2020-08-24,36
2020-08-25,43
2020-08-26,38
2020-08-27,38
2020-08-28,40
2020-08-29,39
2020-08-30,36
2020-08-31,30
2020-09-01,37
2020-09-02,34
2020-09-03,38
2020-09-04,31
2020-09-05,34
2020-09-06,29
2020-09-07,28
2020-09-08,35
2020-09-09,34
2020-09-10,32
2020-09-11,36
2020-09-12,28
2020-09-13,28
2020-09-14,29
2020-09-15,27
2020-09-16,32
2020-09-17,29
2020-09-18,28
2020-09-19,31
2020-09-20,22
2020-09-21,18
2020-09-22,31
2020-09-23,35
2020-09-24,26
2020-09-25,20
2020-09-26,23
2020-09-27,21
2020-09-28,21
2020-09-29,20
2020-09-30,26
2020-10-01,26
2020-10-02,18
2020-10-03,23
2020-10-04,26
2020-10-05,20
2020-10-06,20
2020-10-07,21
2020-10-08,24
2020-10-09,15
2020-10-10,19
2020-10-11,16
2020-10-12,23
2020-10-13,18
2020-10-14,25
2020-10-15,17
2020-10-16,20
2020-10-17,17
2020-10-18,13
2020-10-19,16
2020-10-20,20
2020-10-21,17
2020-10-22,13
2020-10-23,17
2020-10-24,12
2020-10-25,13
2020-10-26,14
2020-10-27,10
2020-10-28,12
2020-10-29,19
2020-10-30,15
2020-10-31,7
2020-11-01,15
2020-11-02,14
2020-11-03,13
2020-11-04,13
2020-11-05,19
2020-11-06,17
2020-11-07,21
2020-11-08,14
2020-11-09,15
2020-11-10,14
2020-11-11,19
2020-11-12,19
2020-11-13,20
2020-11-14,13
2020-11-15,12
2020-11-16,12
2020-11-17,18
2020-11-18,22
2020-11-19,16
2020-11-20,16
2020-11-21,16
2020-11-22,14
2020-11-23,18
2020-11-24,10
2020-11-25,16
2020-11-26,17
2020-11-27,11
2020-11-28,14
2020-11-29,13
2020-11-30,16
2020-12-01,22
2020-12-02,20
2020-12-03,18
2020-12-04,20
2020-12-05,22
2020-12-06,15
2020-12-07,16
2020-12-08,22
2020-12-09,22
2020-12-10,25
2020-12-11,22
2020-12-12,23
2020-12-13,17
2020-12-14,21
2020-12-15,22
2020-12-16,21
2020-12-17,21
2020-12-18,27
2020-12-19,23
2020-12-20,20
2020-12-21,23
2020-12-22,29
2020-12-23,21
2020-12-24,24
2020-12-25,25
2020-12-26,31
2020-12-27,27
2020-12-28,29
2020-12-29,25
2020-12-30,27
2020-12-31,33
2021-01-01,31
2021-01-02,31
2021-01-03,28
2021-01-04,30
2021-01-05,32
2021-01-06,36
2021-01-07,37
2021-01-08,29
2021-01-09,25
2021-01-10,35
2021-01-11,36
2021-01-12,31
2021-01-13,31
2021-01-14,37
2021-01-15,39
2021-01-16,40
2021-01-17,36
2021-01-18,34
2021-01-19,34
2021-01-20,39
2021-01-21,39
2021-01-22,36
2021-01-23,44
2021-01-24,42
2021-01-25,41
2021-01-26,37
2021-01-27,44
2021-01-28,44
2021-01-29,43
2021-01-30,44
2021-01-31,41
2021-02-01,42
2021-02-02,44
2021-02-03,45
2021-02-04,39
2021-02-05,44
2021-02-06,41
2021-02-07,38
2021-02-08,47
2021-02-09,49
2021-02-10,50
2021-02-11,47
2021-02-12,50
2021-02-13,44
2021-02-14,44
2021-02-15,41
2021-02-16,47
2021-02-17,48
2021-02-18,44
2021-02-19,47
2021-02-20,45
2021-02-21,50
2021-02-22,48
2021-02-23,47
2021-02-24,50
2021-02-25,50
2021-02-26,48
2021-02-27,44
2021-02-28,46
2021-03-01,44
2021-03-02,45
2021-03-03,52
2021-03-04,52
2021-03-05,44
2021-03-06,48
2021-03-07,50
2021-03-08,51
2021-03-09,52
2021-03-10,51
2021-03-11,49
2021-03-12,47
2021-03-13,50
2021-03-14,49
2021-03-15,52
2021-03-16,53
2021-03-17,51
2021-03-18,48
2021-03-19,50
2021-03-20,50
2021-03-21,48
2021-03-22,47
2021-03-23,51
2021-03-24,51
2021-03-25,51
2021-03-26,52
2021-03-27,49
2021-03-28,50
2021-03-29,50
2021-03-30,48
2021-03-31,51
2021-04-01,57
2021-04-02,48
2021-04-03,44
2021-04-04,44
2021-04-05,50
2021-04-06,51
2021-04-07,53
2021-04-08,57
2021-04-09,44
2021-04-10,52
2021-04-11,54
2021-04-12,47
2021-04-13,51
2021-04-14,51
2021-04-15,51
2021-04-16,52
2021-04-17,55
2021-04-18,56
2021-04-19,50
2021-04-20,58
2021-04-21,54
2021-04-22,60
2021-04-23,53
2021-04-24,52
2021-04-25,52
2021-04-26,61
2021-04-27,55
2021-04-28,52
2021-04-29,58
2021-04-30,53
2021-05-01,51
2021-05-02,54
2021-05-03,52
2021-05-04,54
2021-05-05,55
2021-05-06,57
2021-05-07,56
2021-05-08,47
2021-05-09,54
2021-05-10,50
2021-05-11,50
2021-05-12,56
2021-05-13,57
2021-05-14,53
2021-05-15,56
2021-05-16,49
2021-05-17,52
2021-05-18,53
2021-05-19,57
2021-05-20,58
2021-05-21,53
2021-05-22,57
2021-05-23,54
2021-05-24,49
2021-05-25,50
2021-05-26,58
2021-05-27,58
2021-05-28,57
2021-05-29,56
2021-05-30,55
2021-05-31,58
2021-06-01,54
2021-06-02,55
2021-06-03,56
2021-06-04,59
2021-06-05,60
2021-06-06,54
2021-06-07,49
2021-06-08,53
2021-06-09,57
2021-06-10,58
2021-06-11,58
2021-06-12,57
2021-06-13,55
2021-06-14,60
2021-06-15,56
2021-06-16,57
2021-06-17,62
2021-06-18,55
2021-06-19,59
2021-06-20,57
2021-06-21,57
2021-06-22,64
2021-06-23,59
2021-06-24,67
2021-06-25,59
2021-06-26,54
2021-06-27,57
2021-06-28,54
2021-06-29,57
2021-06-30,62
2021-07-01,63
2021-07-02,58
2021-07-03,61
2021-07-04,61
2021-07-05,62
2021-07-06,61
2021-07-07,65
2021-07-08,55
2021-07-09,59
2021-07-10,55
2021-07-11,57
2021-07-12,55
2021-07-13,58
2021-07-14,66
2021-07-15,60
2021-07-16,60
2021-07-17,56
2021-07-18,56
2021-07-19,56
2021-07-20,59
2021-07-21,62
2021-07-22,64
2021-07-23,59
2021-07-24,58
2021-07-25,51
2021-07-26,55
2021-07-27,59
2021-07-28,60
2021-07-29,58
2021-07-30,59
2021-07-31,56
2021-08-01,57
2021-08-02,54
2021-08-03,53
2021-08-04,57
2021-08-05,47
2021-08-06,56
2021-08-07,41
2021-08-08,46
2021-08-09,52
2021-08-10,54
2021-08-11,50
2021-08-12,51
2021-08-13,56
2021-08-14,48
2021-08-15,55
2021-08-16,48
2021-08-17,51
2021-08-18,56
2021-08-19,51
2021-08-20,46
2021-08-21,47
2021-08-22,46
2021-08-23,42
2021-08-24,46
2021-08-25,46
2021-08-26,51
2021-08-27,46
2021-08-28,43
2021-08-29,42
2021-08-30,43
2021-08-31,46
2021-09-01,42
2021-09-02,42
2021-09-03,46
2021-09-04,40
2021-09-05,35
2021-09-06,41
2021-09-07,42
2021-09-08,37
2021-09-09,42
2021-09-10,42
2021-09-11,39
2021-09-12,38
2021-09-13,32
2021-09-14,38
2021-09-15,37
2021-09-16,37
2021-09-17,39
2021-09-18,39
2021-09-19,38
2021-09-20,37
2021-09-21,34
2021-09-22,36
2021-09-23,37
2021-09-24,34
2021-09-25,32
2021-09-26,32
2021-09-27,30
2021-09-28,29
2021-09-29,31
2021-09-30,34
2021-10-01,31
2021-10-02,30
2021-10-03,29
2021-10-04,26
2021-10-05,31
2021-10-06,31
2021-10-07,26
2021-10-08,33
2021-10-09,25
2021-10-10,20
2021-10-11,22
2021-10-12,23
2021-10-13,28
2021-10-14,27
2021-10-15,25
2021-10-16,26
2021-10-17,24
2021-10-18,24
2021-10-19,25
2021-10-20,27
2021-10-21,19
2021-10-22,23
2021-10-23,16
2021-10-24,21
2021-10-25,22
2021-10-26,26
2021-10-27,28
2021-10-28,25
2021-10-29,22
2021-10-30,23
2021-10-31,19
2021-11-01,21
2021-11-02,25
2021-11-03,22
2021-11-04,27
2021-11-05,25
2021-11-06,18
2021-11-07,23
2021-11-08,23
2021-11-09,23
2021-11-10,22
2021-11-11,22
2021-11-12,22
2021-11-13,23
2021-11-14,18
2021-11-15,22
2021-11-16,19
2021-11-17,24
2021-11-18,25
2021-11-19,31
2021-11-20,18
2021-11-21,26
2021-11-22,22
2021-11-23,25
2021-11-24,26
2021-11-25,27
2021-11-26,25
2021-11-27,28
2021-11-28,22
2021-11-29,27
2021-11-30,23
2021-12-01,27
2021-12-02,25
2021-12-03,28
2021-12-04,30
2021-12-05,25
2021-12-06,25
2021-12-07,24
2021-12-08,29
2021-12-09,25
2021-12-10,27
2021-12-11,29
2021-12-12,31
2021-12-13,36
2021-12-14,28
2021-12-15,36
2021-12-16,33
2021-12-17,31
2021-12-18,32
2021-12-19,30
2021-12-20,31
2021-12-21,31
2021-12-22,30
2021-12-23,31
2021-12-24,37
2021-12-25,32
2021-12-26,31
2021-12-27,33
2021-12-28,38
2021-12-29,38
2021-12-30,36
2021-12-31,41
2022-01-01,41
2022-01-02,37
2022-01-03,39
2022-01-04,42
2022-01-05,44
2022-01-06,43
2022-01-07,42
2022-01-08,41
2022-01-09,35
2022-01-10,41
2022-01-11,37
2022-01-12,41
2022-01-13,48
2022-01-14,46
2022-01-15,46
2022-01-16,40
2022-01-17,38
2022-01-18,43
2022-01-19,46
2022-01-20,47
2022-01-21,49
2022-01-22,43
2022-01-23,45
2022-01-24,42
2022-01-25,48
2022-01-26,48
2022-01-27,47
2022-01-28,48
2022-01-29,46
2022-01-30,45
2022-01-31,52
2022-02-01,49
2022-02-02,50
2022-02-03,45
2022-02-04,48
2022-02-05,48
2022-02-06,46
2022-02-07,53
2022-02-08,50
2022-02-09,57
2022-02-10,54
2022-02-11,53
2022-02-12,51
2022-02-13,50
2022-02-14,56
2022-02-15,46
2022-02-16,49
2022-02-17,54
2022-02-18,54
2022-02-19,55
2022-02-20,53
2022-02-21,51
2022-02-22,57
2022-02-23,59
2022-02-24,57
2022-02-25,59
2022-02-26,55
2022-02-27,51
2022-02-28,56
2022-03-01,56
2022-03-02,57
2022-03-03,62
2022-03-04,49
2022-03-05,51
2022-03-06,51
2022-03-07,54
2022-03-08,56
2022-03-09,54
2022-03-10,56
2022-03-11,55
2022-03-12,63
2022-03-13,60
2022-03-14,54
2022-03-15,56
2022-03-16,55
2022-03-17,54
2022-03-18,58
2022-03-19,54
2022-03-20,55
2022-03-21,51
2022-03-22,55
2022-03-23,60
2022-03-24,61
2022-03-25,60
2022-03-26,53
2022-03-27,59
2022-03-28,54
2022-03-29,60
2022-03-30,60
2022-03-31,56
2022-04-01,58
2022-04-02,59
2022-04-03,58
2022-04-04,57
2022-04-05,63
2022-04-06,63
2022-04-07,60
2022-04-08,62
2022-04-09,64
2022-04-10,63
2022-04-11,54
2022-04-12,56
2022-04-13,65
2022-04-14,58
2022-04-15,56
2022-04-16,57
2022-04-17,59
2022-04-18,58
2022-04-19,58
2022-04-20,59
2022-04-21,59
2022-04-22,58
2022-04-23,66
2022-04-24,59
2022-04-25,61
2022-04-26,59
2022-04-27,61
2022-04-28,60
2022-04-29,53
2022-04-30,55
2022-05-01,53
2022-05-02,52
2022-05-03,57
2022-05-04,66
2022-05-05,63
2022-05-06,66
2022-05-07,62
2022-05-08,62
2022-05-09,57
2022-05-10,63
2022-05-11,65
2022-05-12,62
2022-05-13,64
2022-05-14,63
2022-05-15,58
2022-05-16,57
2022-05-17,59
2022-05-18,64
2022-05-19,65
2022-05-20,61
2022-05-21,62
2022-05-22,63
2022-05-23,63
2022-05-24,68
2022-05-25,69
2022-05-26,62
2022-05-27,69
2022-05-28,61
2022-05-29,65
2022-05-30,63
2022-05-31,63
2022-06-01,60
2022-06-02,66
2022-06-03,61
2022-06-04,67
2022-06-05,67
2022-06-06,61
2022-06-07,66
2022-06-08,64
2022-06-09,65
2022-06-10,68
2022-06-11,64
2022-06-12,69
2022-06-13,62
2022-06-14,69
2022-06-15,68
2022-06-16,70
2022-06-17,65
2022-06-18,65
2022-06-19,64
2022-06-20,62
2022-06-21,68
2022-06-22,70
2022-06-23,70
2022-06-24,72
2022-06-25,70
2022-06-26,63
2022-06-27,66
2022-06-28,64
2022-06-29,68
2022-06-30,67
2022-07-01,72
2022-07-02,67
2022-07-03,64
2022-07-04,68
2022-07-05,60
2022-07-06,62
2022-07-07,71
2022-07-08,67
2022-07-09,66
2022-07-10,60
2022-07-11,64
2022-07-12,72
2022-07-13,70
2022-07-14,68
2022-07-15,65
2022-07-16,63
2022-07-17,57
2022-07-18,64
2022-07-19,68
2022-07-20,62
2022-07-21,65
2022-07-22,62
2022-07-23,61
2022-07-24,62
2022-07-25,56
2022-07-26,66
2022-07-27,67
2022-07-28,64
2022-07-29,56
2022-07-30,59
2022-07-31,64
2022-08-01,52
2022-08-02,61
2022-08-03,60
2022-08-04,66
2022-08-05,60
2022-08-06,61
2022-08-07,60
2022-08-08,64
2022-08-09,59
2022-08-10,62
2022-08-11,57
2022-08-12,63
2022-08-13,55
2022-08-14,55
2022-08-15,56
2022-08-16,53
2022-08-17,59
2022-08-18,61
2022-08-19,58
2022-08-20,50
2022-08-21,53
2022-08-22,56
2022-08-23,49
2022-08-24,52
2022-08-25,58
2022-08-26,55
2022-08-27,53
2022-08-28,56
2022-08-29,52
2022-08-30,53
2022-08-31,61
2022-09-01,52
2022-09-02,49
2022-09-03,50
2022-09-04,49
2022-09-05,46
2022-09-06,45
2022-09-07,56
2022-09-08,50
2022-09-09,46
2022-09-10,48
2022-09-11,44
2022-09-12,43
2022-09-13,47
2022-09-14,42
2022-09-15,47
2022-09-16,50
2022-09-17,44
2022-09-18,40
2022-09-19,39
2022-09-20,41
2022-09-21,42
2022-09-22,42
2022-09-23,44
2022-09-24,34
2022-09-25,40
2022-09-26,37
2022-09-27,40
2022-09-28,37
2022-09-29,44
2022-09-30,42
2022-10-01,39
2022-10-02,30
2022-10-03,37
2022-10-04,37
2022-10-05,32
2022-10-06,37
2022-10-07,37
2022-10-08,36
2022-10-09,33
2022-10-10,33
2022-10-11,38
2022-10-12,39
2022-10-13,27
2022-10-14,33
2022-10-15,31
2022-10-16,25
2022-10-17,31
2022-10-18,36
2022-10-19,30
2022-10-20,34
2022-10-21,29
2022-10-22,28
2022-10-23,33
2022-10-24,27
2022-10-25,32
2022-10-26,26
2022-10-27,38
2022-10-28,33
2022-10-29,29
2022-10-30,30
2022-10-31,24
2022-11-01,33
2022-11-02,30
2022-11-03,31
2022-11-04,29
2022-11-05,27
2022-11-06,30
2022-11-07,29
2022-11-08,31
2022-11-09,31
2022-11-10,33
2022-11-11,29
2022-11-12,35
2022-11-13,23
2022-11-14,32
2022-11-15,34
2022-11-16,29
2022-11-17,39
2022-11-18,34
2022-11-19,32
2022-11-20,29
2022-11-21,28
2022-11-22,30
2022-11-23,34
2022-11-24,37
2022-11-25,33
2022-11-26,28
2022-11-27,32
2022-11-28,33
2022-11-29,34
2022-11-30,36
2022-12-01,34
2022-12-02,31
2022-12-03,30
2022-12-04,27
2022-12-05,33
2022-12-06,34
2022-12-07,35
2022-12-08,28
2022-12-09,32
2022-12-10,38
2022-12-11,32
2022-12-12,36
2022-12-13,32
2022-12-14,43
2022-12-15,39
2022-12-16,40
2022-12-17,44
2022-12-18,41
2022-12-19,36
2022-12-20,38
2022-12-21,40
2022-12-22,44
2022-12-23,41
2022-12-24,39
2022-12-25,44
2022-12-26,40
2022-12-27,49
2022-12-28,44
2022-12-29,50
2022-12-30,45
2022-12-31,46
2023-01-01,40
2023-01-02,40
2023-01-03,46
2023-01-04,50
2023-01-05,48
2023-01-06,43
2023-01-07,42
2023-01-08,41
2023-01-09,41
2023-01-10,48
2023-01-11,53
2023-01-12,51
2023-01-13,43
2023-01-14,48
2023-01-15,48
2023-01-16,55
2023-01-17,46
2023-01-18,52
2023-01-19,59
2023-01-20,54
2023-01-21,53
2023-01-22,51
2023-01-23,52
2023-01-24,56
2023-01-25,53
2023-01-26,59
2023-01-27,51
2023-01-28,55
2023-01-29,54
2023-01-30,52
2023-01-31,56
2023-02-01,56
2023-02-02,55
2023-02-03,57
2023-02-04,53
2023-02-05,56
2023-02-06,53
2023-02-07,60
2023-02-08,56
2023-02-09,59
2023-02-10,58
2023-02-11,62
2023-02-12,58
2023-02-13,57
2023-02-14,61
2023-02-15,55
2023-02-16,62
2023-02-17,67
2023-02-18,60
2023-02-19,59
2023-02-20,61
2023-02-21,64
2023-02-22,57
2023-02-23,59
2023-02-24,63
2023-02-25,59
2023-02-26,64
2023-02-27,60
2023-02-28,57
2023-03-01,60
2023-03-02,57
2023-03-03,63
2023-03-04,62
2023-03-05,60
2023-03-06,65
2023-03-07,67
2023-03-08,65
2023-03-09,59
2023-03-10,67
2023-03-11,65
2023-03-12,63
2023-03-13,66
2023-03-14,61
2023-03-15,72
2023-03-16,64
2023-03-17,68
2023-03-18,59
2023-03-19,60
2023-03-20,68
2023-03-21,64
2023-03-22,69
2023-03-23,68
2023-03-24,66
2023-03-25,68
2023-03-26,63
2023-03-27,58
2023-03-28,63
2023-03-29,69
2023-03-30,69
2023-03-31,62
2023-04-01,63
2023-04-02,62
2023-04-03,63
